종류,가격(원),거래량(원),거래일,거래일(주)
BTC,27263106.0,83558015760670,2022-09-27,20220927
BTC,27639942.0,75508760441078,2022-09-28,20220927
BTC,27999444.0,58705045893071,2022-09-29,20220927
BTC,27986246.0,63334471548874,2022-09-30,20220927
BTC,27813858.0,26960439738207,2022-10-01,20220927
BTC,27427866.0,29907719757983,2022-10-02,20220927
BTC,28131188.0,43701079111294,2022-10-03,20220927
BTC,28814256.0,50846890804628,2022-10-04,20221004
BTC,28569750.0,47081433620168,2022-10-05,20221004
BTC,28110236.0,48896231875056,2022-10-06,20221004
BTC,27852502.0,41646293972757,2022-10-07,20221004
BTC,27664920.0,23420204902283,2022-10-08,20221004
BTC,27555228.0,23858091471963,2022-10-09,20221004
BTC,27349706.0,39185380834296,2022-10-10,20221004
BTC,27277820.0,41109172820850,2022-10-11,20221011
BTC,27297446.0,35551502713380,2022-10-12,20221011
BTC,27742750.0,63291856997730,2022-10-13,20221011
BTC,27659770.0,55436378169257,2022-10-14,20221011
BTC,27489618.0,23344184044061,2022-10-15,20221011
BTC,27779906.0,25935645261934,2022-10-16,20221011
BTC,27982022.0,39320091478980,2022-10-17,20221011
BTC,27559372.0,43588902495503,2022-10-18,20221018
BTC,27471930.0,32188279494287,2022-10-19,20221018
BTC,27259234.0,35042304503523,2022-10-20,20221018
BTC,27399950.0,46388542067817,2022-10-21,20221018
BTC,27451000.0,23015339705709,2022-10-22,20221018
BTC,27963336.0,31624403135652,2022-10-23,20221018
BTC,27953598.0,43641054572138,2022-10-24,20221018
BTC,28682214.0,68168591658640,2022-10-25,20221025
BTC,29350904.0,83226418263759,2022-10-26,20221025
BTC,28833274.0,70534650669552,2022-10-27,20221025
BTC,29286588.0,62560481537260,2022-10-28,20221025
BTC,29603870.0,57405909280045,2022-10-29,20221025
BTC,29343828.0,44773581994708,2022-10-30,20221025
BTC,29220210.0,65108160436408,2022-10-31,20221025
BTC,29027632.0,56423952576242,2022-11-01,20221101
BTC,28705116.0,79100734127030,2022-11-02,20221101
BTC,28780032.0,61559901693116,2022-11-03,20221101
BTC,29688808.0,89952343496469,2022-11-04,20221101
BTC,29883278.0,53140081577543,2022-11-05,20221101
BTC,29382476.0,49258934755975,2022-11-06,20221101
BTC,28710026.0,74567372590830,2022-11-07,20221101
BTC,25485906.0,163561093600292,2022-11-08,20221108
BTC,21773344.0,141088108108963,2022-11-09,20221108
BTC,23738096.0,112303946497971,2022-11-10,20221108
BTC,22385276.0,73422567375992,2022-11-11,20221108
BTC,22076312.0,39052920338140,2022-11-12,20221108
BTC,21490460.0,35756424578525,2022-11-13,20221108
BTC,22010058.0,65733023564122,2022-11-14,20221108
BTC,22230282.0,48186817677976,2022-11-15,20221115
BTC,22284208.0,45352643528448,2022-11-16,20221115
BTC,22413006.0,37430738422964,2022-11-17,20221115
BTC,22375190.0,35995641557617,2022-11-18,20221115
BTC,22393976.0,21582822665421,2022-11-19,20221115
BTC,21831544.0,28560566794747,2022-11-20,20221115
BTC,21466838.0,50894930080190,2022-11-21,20221115
BTC,21905648.0,41575089288203,2022-11-22,20221122
BTC,22210992.0,44070933091565,2022-11-23,20221122
BTC,22023164.0,34655985524665,2022-11-24,20221122
BTC,22065910.0,24945931550790,2022-11-25,20221122
BTC,21989036.0,24040091705069,2022-11-26,20221122
BTC,21962832.0,27304111582606,2022-11-27,20221122
BTC,21750186.0,37208113048329,2022-11-28,20221122
BTC,21800638.0,31261557192142,2022-11-29,20221129
BTC,22428670.0,38569009976814,2022-11-30,20221129
BTC,22129378.0,29861308725463,2022-12-01,20221129
BTC,22187062.0,25369376152117,2022-12-02,20221129
BTC,21969210.0,21072081626868,2022-12-03,20221129
BTC,22272562.0,21874755535923,2022-12-04,20221129
BTC,22158212.0,28990794091698,2022-12-05,20221129
